,source,AggScore,rankOfRanks,BoScorerank,beta,sector,rating_fmp
0,SXP.TO,18.06800938574349,21.0,59.0,1.20802,Consumer Cyclical,Buy
1,UMC,10.190252351751182,5.0,4.0,1.285411,Technology,Buy
2,IMKTA,9.872834807695508,13.0,74.0,0.66376,Consumer Defensive,Buy
3,GTN,9.840257879435056,6.0,26.0,1.604813,Communication Services,Buy
4,ATKR,8.944566348466758,13.0,6.0,2.253923,Industrials,Strong Buy
5,TPH,7.984676987816692,1.0,20.0,1.418207,Consumer Cyclical,Buy
6,BKE,7.890863237716885,8.0,39.0,0.969654,Consumer Cyclical,Strong Buy
7,TKC,7.36029377797159,12.0,11.0,0.837513,Communication Services,Buy
8,LEN-B,7.085344270365608,2.0,3.0,1.405301,Consumer Cyclical,Buy
9,MLI,6.346976774932031,17.0,49.0,1.174398,Industrials,Buy
10,PXT.TO,5.017659540569181,10.0,34.0,1.788471,Energy,Buy
11,MTH,5.014650561824608,4.0,25.0,1.56784,Consumer Cyclical,Buy
12,FHI,4.9783407733234615,20.0,45.0,1.022671,Financial Services,Strong Buy
13,NVR,4.96070832567635,25.0,40.0,0.972096,Consumer Cyclical,Strong Buy
14,ASX,4.934810081463119,22.0,12.0,1.241414,Technology,Buy
15,RUSHB,4.75759212446876,19.0,45.0,0.991628,Consumer Cyclical,Buy
16,HVT,4.359253510844825,9.0,47.0,1.356121,Consumer Cyclical,Buy
17,HVT-A,4.306828001295849,7.0,38.0,1.356121,Consumer Cyclical,Buy
18,LEN,4.117865938045339,3.0,5.0,1.405301,Consumer Cyclical,Buy
19,NXST,4.055402819229208,27.0,22.0,1.469131,Communication Services,Strong Buy
20,RUSHA,4.0041619039217045,18.0,55.0,0.991628,Consumer Cyclical,Buy
21,PHM,3.6406397494314082,8.0,57.0,1.282874,Consumer Cyclical,Buy
22,PATK,3.4142658667269856,13.0,40.0,1.879316,Consumer Cyclical,Strong Buy
23,RS,3.3596067274767303,11.0,38.0,0.876525,Basic Materials,Buy
24,UFPI,3.338215346030065,15.0,63.0,1.482036,Basic Materials,Buy
25,TGNA,3.320325636246882,20.0,27.0,0.674572,Communication Services,Buy
26,DHI,2.6665236058780244,16.0,30.0,1.527031,Consumer Cyclical,Buy
27,WLK,2.3352699257490257,13.0,14.0,1.201604,Basic Materials,Buy
28,WSM,1.8929612339965727,24.0,23.0,1.557028,Consumer Cyclical,Strong Buy
29,EXP,1.858873761208673,33.0,51.0,1.308336,Basic Materials,Strong Buy
30,ALSN,1.7944774195779885,37.0,31.0,1.0143,Consumer Cyclical,Strong Buy
31,RHI,1.7843654244033553,42.0,62.0,1.289152,Industrials,Strong Buy
32,CMC,1.7390584541643355,22.0,76.0,1.269619,Basic Materials,Buy
33,ISV.TO,1.6943917965385284,26.0,56.0,0.595488,Industrials,Strong Buy
34,TRTN,1.4378584982455322,32.0,9.0,1.444018,Industrials,Strong Buy
35,EBF,1.3406818323700493,23.0,60.0,0.487966,Industrials,Buy
36,CACC,1.0860017099471602,27.0,16.0,1.33903,Financial Services,Strong Buy
37,CVCO,0.7966412150505224,24.0,43.0,1.155563,Consumer Cyclical,Buy
38,GMS,0.7262364815923061,31.0,41.0,1.851063,Industrials,Buy
39,ZUMZ,0.7090949906549131,19.0,68.0,0.0,Consumer Cyclical,Strong Buy
